---,AbilityID,HeroID,AbilityName,CooldownTurns,StaminaCost,CastRange,AOERadius,BaseDamage,StatusEffect,Description
Skill_SerpentThrust,Skill_SerpentThrust,LinChong,丈八驚龍刺,2,20,2,0,180.0,ArmorBreak,豹子頭林沖槍術絕技，槍出如驚龍破空，直線貫穿2格並降低目標30%防禦。
Skill_TigerSlayer,Skill_TigerSlayer,WuSong,狂風雙戒斬,2,25,1,0,220.0,Bleed,行者武松雙戒刀狂暴連斬，連續攻擊目標兩次，必定暴擊並附加流血傷害。
Skill_ZenStaffSweep,Skill_ZenStaffSweep,LuZhishen,瘋魔杖法·力拔山河,3,30,1,1,190.0,Knockback,花和尚魯智深六十二斤禪杖360度橫掃周圍一圈敵軍，擊退並震懾敵軍。
Skill_DragonTide,Skill_DragonTide,LiJun,混江狂濤訣,3,25,2,1,160.0,Drown,混江龍李俊召喚大江狂濤席捲目標區域，若在水域地塊傷害提升100%。
Skill_YangFamilySaber,Skill_YangFamilySaber,YangZhi,楊家金刀·斷魂斬,2,20,1,0,200.0,ResetOnKill,青面獸楊志將門寶刀絕技，若此招擊殺敵軍，立即刷新冷卻時間並恢復行動力。
Skill_HeavenMandate,Skill_HeavenMandate,SongJiang,及時雨·替天行道,4,40,0,3,0.0,MoraleMax,及時雨宋江號令山寨群雄，使範圍內全體友軍士氣全滿，並驅散所有異常狀態。
Skill_QilinCharge,Skill_QilinCharge,LuJunyi,金槊破陣·萬夫莫敵,3,30,3,0,250.0,Stun,玉麒麟盧俊義發動致命騎兵衝鋒，直接穿透目標防線並造成1回合眩暈。
Skill_StratagemTrap,Skill_StratagemTrap,WuYong,智多星·八卦伏兵陣,3,25,3,1,120.0,Confuse,吳用在指定地塊佈下奇門遁甲伏兵，使踏入之敵軍陷入混亂無法行動。
Skill_FiveThunder,Skill_FiveThunder,GongsunSheng,五雷天罡正法,3,35,3,1,230.0,Paralyze,公孫勝引動九天神雷轟擊目標區域，造成毀滅性雷電法術傷害並附帶麻痺。
Skill_GreenDragonSlash,Skill_GreenDragonSlash,GuanSheng,青龍偃月·冷艷傲雪,2,25,1,1,210.0,ArmorBreak,關勝青龍偃月刀弧形大範圍重劈，削減前方3格敵軍40%防禦力。
Skill_ThunderWolfMace,Skill_ThunderWolfMace,QinMing,霹靂狼牙·烽火連天,3,25,1,1,190.0,Burn,霹靂火秦明狼牙棒重砸地面引爆地火，對範圍內敵軍造成灼燒持續傷害。
Skill_TwinWhipBreaker,Skill_TwinWhipBreaker,HuyanZhuo,雙鞭連環·破甲碎骨,2,20,1,0,180.0,ShieldBreak,呼延灼鋼鞭疾點敵軍要害，徹底擊碎目標護盾並造成穿刺重傷。
Skill_MoonChaserArrow,Skill_MoonChaserArrow,HuaRong,小李廣·百步追月神箭,2,20,5,0,220.0,Blind,花榮彎弓射鵰，5格超遠距離精準射擊敵軍主將，造成重傷並致盲2回合。
Skill_BlackWhirlwindFury,Skill_BlackWhirlwindFury,LiKui,黑旋風·狂暴雙板斧,3,30,1,0,240.0,Berserk,李逵進入狂暴狀態，自身攻擊力提升80%，受到物理傷害降低20%，免疫恐懼。
Skill_DivineStep,Skill_DivineStep,DaiZong,神行甲馬·瞬息千里,2,15,4,0,0.0,EvasionUp,戴宗發動神行符咒，瞬間位移至4格內任意位置，並獲得100%閃避1回合。
Skill_SilkRopeTrap,Skill_SilkRopeTrap,HuSanniang,一丈青·紅棉套索,2,15,3,0,100.0,Root,扈三娘拋出紅棉套索束縛敵將，使目標定身無法移動，並降低其攻擊力30%。
Skill_RejuvenationSalve,Skill_RejuvenationSalve,AnDaoquan,神醫·起死回生百草露,2,25,2,0,-250.0,Cleanse,安道全施展神針與百草聖藥，瞬間回復友軍大額生命值並清除所有負面狀態。
Skill_YueFamilySpear,Skill_YueFamilySpear,YueFei,岳家神槍·精忠報國,3,30,2,1,260.0,InspireAll,岳飛率軍發動撼山突刺，穿透重甲，並使周遭友軍獲得20%傷害加成。
Skill_IronPagodaRush,Skill_IronPagodaRush,WanyanZongbi,金兀朮·鐵浮屠重騎輾壓,3,35,3,1,240.0,Trample,金兀朮指揮重裝鐵浮屠奔騰踐踏，擊退敵軍並造成範圍碾壓物理傷害。
Skill_SteppeArrowVolley,Skill_SteppeArrowVolley,Temujin,成吉思汗·蒼狼遮天箭雨,4,40,4,2,280.0,Devastate,鐵木真號令蒙古百萬鐵騎萬箭齊發，對大範圍區域實施毀滅性打擊。
