---,BondID,HeroA,HeroB,BondType,SynergyBonusPercent,BondName,Description
Bond_ErlongshanTrio,Bond_ErlongshanTrio,LuZhishen,WuSong,SwornBrother,25.0,二龍山生死之交,魯智深與武松於二龍山寶珠寺歃血結拜，同生共死，步軍無雙雙璧。
Bond_ErlongshanYang,Bond_ErlongshanYang,WuSong,YangZhi,SwornBrother,20.0,二龍山將帥結義,武松與楊志同掌二龍山大寨，惺惺相惜。
Bond_ErlongshanLuYang,Bond_ErlongshanLuYang,LuZhishen,YangZhi,SwornBrother,20.0,二龍山頭領之誼,魯智深與楊志大戰五十合不分勝負，遂成莫逆之交。
Bond_RuanBrothers1,Bond_RuanBrothers1,RuanXiaoer,RuanXiaowu,Kinship,25.0,石碣村阮氏雙雄,石碣村打漁三兄弟，水戰同心，翻江倒海。
Bond_RuanBrothers2,Bond_RuanBrothers2,RuanXiaowu,RuanXiaoqi,Kinship,25.0,石碣村阮氏雙雄,七爺五爺同舟破陣，視官軍如草芥。
Bond_RuanBrothers3,Bond_RuanBrothers3,RuanXiaoer,RuanXiaoqi,Kinship,25.0,石碣村阮氏骨肉,立地太歲與活閻羅，水泊水戰天下無敵。
Bond_LiJunTongWei,Bond_LiJunTongWei,LiJun,TongWei,SwornBrother,20.0,潯陽江水寨結義,混江龍李俊與出洞蛟童威生死相隨，共赴海外。
Bond_LiJunTongMeng,Bond_LiJunTongMeng,LiJun,TongMeng,SwornBrother,20.0,潯陽江水寨結義,翻江蜃童猛終生侍奉李俊，開拓暹羅國土。
Bond_ZhangBrothers,Bond_ZhangBrothers,ZhangHeng,ZhangShun,Kinship,25.0,潯陽江張氏雙雄,船火兒張橫與浪裏白條張順，長江水戰雙璧。
Bond_XieBrothers,Bond_XieBrothers,XieZhen,XieBao,Kinship,25.0,登州獵戶雙尾蠍,解珍解寶兄弟同心，登山越嶺穿林如履平地。
Bond_GuanHao,Bond_GuanHao,GuanSheng,HaoSiwen,SwornBrother,20.0,將門桃園結義,大刀關勝與井木犴郝思文結拜為金蘭兄弟，至死不渝。
Bond_SongLi,Bond_SongLi,SongJiang,LiKui,LoyalFollower,30.0,生死相隨主僕情,黑旋風李逵一生只服宋江一人，同生共死。
Bond_ChaoWu,Bond_ChaoWu,ChaoGai,WuYong,SwornBrother,25.0,七星聚義生辰綱,晁蓋與吳用智取生辰綱，同創梁山泊基業。
Bond_ZhuWuChen,Bond_ZhuWuChen,ZhuWu,ChenDa,SwornBrother,20.0,少華山三豪傑,神機軍師朱武、陳達、楊春少華山歃血結拜。
Bond_YanShunWang,Bond_YanShunWang,YanShun,WangYing,SwornBrother,20.0,清風山結義兄弟,錦毛虎燕順、矮腳虎王英、白面郎君鄭天壽同生共死。
Bond_ZhangQingQiong,Bond_ZhangQingQiong,ZhangQing,QiongYing,Spouse,30.0,天賜良緣·瓊矢飛石,沒羽箭張清與瓊英夢中傳授飛石神技，結為神仙眷侶。
Bond_SunGu,Bond_SunGu,SunXin,GuDasao,Spouse,25.0,登州夫婦·母大蟲小尉遲,孫新與顧大嫂登州開酒店，破大牢劫法場同心協力。
Bond_ZhangSun,Bond_ZhangSun,ZhangQing_Gardener,SunErniang,Spouse,25.0,十字坡夫妻·菜園子母夜叉,張青與孫二娘十字坡患難夫妻，武藝高強。
Bond_WangHu,Bond_WangHu,WangYing,HuSanniang,Spouse,20.0,一丈青配矮腳虎,宋江作媒，扈三娘下嫁王英，征戰沙場夫唱婦隨。
Bond_HanLiang,Bond_HanLiang,HanShizhong,LiangHongyu,Spouse,30.0,中興將帥·黃天蕩擂鼓,韓世忠與梁紅玉黃天蕩大敗金兀朮十萬大軍，名垂千古。
Bond_LuShi,Bond_LuShi,LuZhishen,ShiJin,MasterApprentice,20.0,五台山受戒師兄,魯達渭州救史進，引為平生第一知己。
Bond_GongsunFan,Bond_GongsunFan,GongsunSheng,FanRui,MasterApprentice,25.0,芒碭山法術傳授,公孫勝以五雷天罡正法降伏樊瑞，收為得意弟子。
Bond_LuanZhu,Bond_LuanZhu,LuanTingyu,ZhuBiao,MasterApprentice,20.0,祝家莊師徒,欒廷玉親傳祝氏三傑鐵棒槍法。
Bond_LinGao,Bond_LinGao,LinChong,GaoQiu,Nemesis,-50.0,白虎節堂·血海深仇,高俅陷害林沖刺配滄州火燒草料場，逼上梁山。
Bond_LinLu,Bond_LinLu,LinChong,LuQian,Nemesis,-40.0,草料場誅殺仇人,陸謙賣友求榮，草料場為林沖親手手刃。
Bond_WuXimen,Bond_WuXimen,WuSong,XiMenQing,Nemesis,-50.0,獅子樓殺嫂祭兄,西門慶毒殺武大郎，武松獅子樓怒斬仇敵。
Bond_WuJiang,Bond_WuJiang,WuSong,JiangMenshen,Nemesis,-40.0,快活林醉打蔣門神,蔣門神奪施恩快活林，武松大鬧飛雲浦鴛鴦樓血債血償。
Bond_ChaoShi,Bond_ChaoShi,ChaoGai,ShiWengong,Nemesis,-50.0,曾頭市毒箭射天王,史文恭曾頭市射殺晁蓋，梁山好漢矢志復仇。
Bond_YueWanyan,Bond_YueWanyan,YueFei,WanyanZongbi,Nemesis,-50.0,靖康國仇·朱仙鎮大捷,岳家軍痛擊金兀朮拐子馬鐵浮屠，誓雪靖康之恥。
Bond_HuyanHan,Bond_HuyanHan,HuyanZhuo,HanCunbao,Rival,15.0,雙鞭戰畫戟·英雄相惜,呼延灼與韓存保陣前大戰百餘合，惺惺相惜之名將對決。
