---,HeroID,DisplayName,Nickname,Rank,StarType,Vitality,Strength,Dexterity,Intelligence,Morale,PrimaryAptitude,SecondaryAptitude,DefaultLoyalty,HeroTrait,DefaultEquipment,Fame,PortraitPath,Biography
SongJiang,SongJiang,宋江,呼保義,1,天魁星,60,50,45,88,95,Scholar,Merchant,100,Inspire,Book_NineHeaven,450,/Game/UI/Portraits/Portrait_SongJiang.jpg,鄆城縣押司，為人仗義疏財，江湖人稱「及時雨」，梁山泊首領。
LuJunyi,LuJunyi,盧俊義,玉麒麟,2,天罡星,95,98,90,75,90,Warrior,Hunter,95,None,None,450,/Game/UI/Portraits/Portrait_LuJunyi.jpg,北京大名府富豪，武藝高強，棍棒天下無雙，梁山泊第二把交椅。
WuYong,WuYong,吳用,智多星,3,天機星,50,40,40,98,85,Scholar,None,90,None,None,450,/Game/UI/Portraits/Portrait_LinChong.jpg,鄆城縣鄉村塾師，足智多謀，神機妙算，梁山軍師。
GongsunSheng,GongsunSheng,公孫勝,入雲龍,4,天閒星,70,60,65,95,85,Taoist,None,90,Sorcery,None,450,/Game/UI/Portraits/Portrait_LinChong.jpg,薊州九宮縣人，羅真人親傳弟子，精通呼風喚雨法術。
GuanSheng,GuanSheng,關勝,大刀,5,天勇星,90,95,85,75,85,Warrior,Blacksmith,90,None,Item_GuanBlade,450,/Game/UI/Portraits/Portrait_LinChong.jpg,漢末名將關羽後裔，使青龍偃月刀，有萬夫不當之勇。
LinChong,LinChong,林沖,豹子頭,6,天雄星,92,96,90,70,85,Warrior,Hunter,90,None,Item_SnakeSpear,450,/Game/UI/Portraits/Portrait_LinChong.jpg,東京八十萬禁軍教頭，使丈八蛇矛，武藝絕倫，歷經磨難上梁山。
QinMing,QinMing,秦明,霹靂火,7,天猛星,88,94,75,45,85,Warrior,None,85,None,None,450,/Game/UI/Portraits/Portrait_LinChong.jpg,青州指揮司統制，性格如烈火，手使一條狼牙棒，勇猛無比。
HuyanZhuo,HuyanZhuo,呼延灼,雙鞭,8,天威星,90,92,85,70,85,Warrior,None,90,None,Item_TwinWhips,450,/Game/UI/Portraits/Portrait_LinChong.jpg,開國名將呼延贊之後，使兩條水磨八棱鋼鞭，精通連環馬戰法。
HuaRong,HuaRong,花榮,小李廣,9,天英星,85,88,98,75,85,Hunter,Warrior,95,Deadeye,None,450,/Game/UI/Portraits/Portrait_LinChong.jpg,清風寨知寨，百步穿楊，箭法天下第一，宋江生死之交。
ChaiJin,ChaiJin,柴進,小旋風,10,天貴星,70,65,65,75,90,Merchant,Scholar,90,Inspire,Book_DanShu,450,/Game/UI/Portraits/Portrait_LinChong.jpg,後周世宗柴榮子孫，家有丹書鐵券，仗義疏財，廣納四方豪傑。
LiYing,LiYing,李應,撲天雕,11,天富星,80,82,85,70,80,Merchant,Warrior,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,獨龍岡李家莊莊主，使渾鐵點鋼槍，背藏五柄飛刀，掌管梁山錢糧。
ZhuTong,ZhuTong,朱仝,美髯公,12,天滿星,85,86,80,70,85,Warrior,Scholar,90,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,鄆城縣馬兵都頭，面如重棗，長鬚過腹，重情重義。
LuZhishen,LuZhishen,魯智深,花和尚,13,天孤星,96,97,75,60,95,Warrior,Farmer,95,IronWall,Item_ZenStaff,250,/Game/UI/Portraits/Portrait_LuZhishen.jpg,渭州經略府提轄，拳打鎮關西，倒拔垂楊柳，使六十二斤水磨禪杖。
WuSong,WuSong,武松,行者,14,天傷星,94,96,88,60,95,Warrior,Hunter,95,IronWall,Item_TwinBlades,250,/Game/UI/Portraits/Portrait_WuSong.jpg,清河縣人，景陽岡赤手空拳打死猛虎，血濺鴛鴦樓，使雪花鑌鐵戒刀。
DongPing,DongPing,董平,雙槍將,15,天立星,86,92,90,65,80,Warrior,None,85,None,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,東平府兵馬都監，風流倜儻，使兩條短槍，出神入化。
ZhangQing,ZhangQing,張清,沒羽箭,16,天捷星,82,85,95,75,80,Hunter,Warrior,85,HiddenMissile,None,250,/Game/UI/Portraits/Portrait_LinChong.jpg,東昌府兵馬都監，善使飛石打人，百發百中，號稱沒羽箭。
YangZhi,YangZhi,楊志,青面獸,17,天暗星,88,90,85,65,85,Warrior,None,90,None,None,250,/Game/UI/Portraits/Portrait_YangZhi.jpg,楊令公之孫，客籍關西，武藝超群，曾押送生辰綱與花石綱。
XuNing,XuNing,徐寧,金槍手,18,天佑星,85,88,85,65,85,Warrior,Blacksmith,90,None,Item_HookSpear,250,/Game/UI/Portraits/Portrait_LinChong.jpg,東京禁軍金槍班教師，祖傳鉤鐮槍法天下獨步，破呼延灼連環馬。
