---,HeroID,OnRecruited,OnMarch,OnCastSkill,OnFeast,OnDefeated
LinChong,LinChong,得蒙首領不棄，林沖願以這條殘命，為大寨衝鋒陷陣！,風雪山神廟，長槍破敵陣！兒郎們，隨我殺！,丈八蛇矛貫長空，奸賊納命來！,大口吃肉，大碗喝酒！痛快！,林沖...愧對娘子，愧對兄弟們...
WuSong,WuSong,俺武二一生堂堂正正，既然義氣相投，刀山火海俺也去了！,雙戒刀在此，誰敢擋我武松去路！,雪花鑌鐵，斬妖除魔！死！,景陽岡透瓶香，再來十八碗！,好漢死得其所，十八年後又是一條好漢！
LuZhishen,LuZhishen,哈哈哈哈！灑家正愁沒處安身，從今往後，咱們就是同生共死的親兄弟！,禪杖打開危險路，戒刀殺盡不平人！殺啊！,六十二斤水磨禪杖，吃灑家一杖！,狗肉配好酒，快活似神仙！痛快！痛快！,今日方知我是我...灑家圓寂去也...
LiJun,LiJun,潯陽江上浪淘盡，李俊願率江南水軍好漢，隨大寨平定天下！,揚帆起航，踏浪破陣！讓朝廷見識江南水師之威！,狂濤怒浪，水淹七軍！斬！,江魚肥美，美酒甘冽，兄弟們暢飲！,大江東去，浪濤不息...李俊盡力了...
YangZhi,YangZhi,楊家世代忠良，今日投奔大寨，定教三軍辟易！,祖傳寶刀削鐵如泥，三軍將士，隨我奪關斬將！,青面獠牙，寶刀嗜血！破！,濁酒一杯家萬里，何日能匡扶社稷！,楊志一生坎坷，終不負將門英名...
SongJiang,SongJiang,天王在上，眾家兄弟同心協力，替天行道，保境安民！,替天行道大旗所指，四海歸心，出征！,九天玄女護佑，破陣除奸！,今日山寨大聚義，不醉無歸！,宋江死不足惜，只願兄弟們世世平安...
LuJunyi,LuJunyi,承蒙各位好漢厚愛，盧某願效犬馬之勞，共創天下大業！,點鋼槍下無冤魂，全軍突擊！,麒麟出海，萬夫莫當！破！,金樽清酒，豪氣干雲！,盧某縱橫半生，死而無憾！
WuYong,WuYong,吳用不才，願為寨主運籌帷幄，決勝千里之外！,乾坤入袖，神機妙算，依計行事！,八卦生剋，奇門遁甲，伏兵起！,得此良宵，與諸位英雄暢談天下大勢！,機關算盡...天命難違矣...
GongsunSheng,GongsunSheng,貧道順應天道，下山輔佐明主，替天行道！,太乙混元，風雲變色！全軍進發！,急急如律令！五雷天罡正法，落！,清茶淡飯皆合道，修真聚義兩相宜。,貧道功德圓滿，回二仙山侍奉老母去也...
GuanSheng,GuanSheng,關某願效先祖之志，忠義傳家，蕩平天下奸佞！,青龍偃月，刀光如雪！隨我衝鋒！,匹馬單刀傲漢水，青龍怒斬！,大義參天，與君同醉！,忠義一生，死得其所！
HuaRong,HuaRong,花榮願為哥哥帳下一神射手，指哪打哪！,神弓在手，例無虛發！進軍！,連珠神箭，穿心透甲！中！,射鵰射雁，下酒正好！,哥哥...花榮隨你去了...
LiKui,LiKui,公公哥哥！鐵牛聽你的！你叫俺砍誰俺就砍誰！,排頭砍將去！殺得那幫鳥官軍落花流水！,雙板斧旋風斬！吃鐵牛兩斧頭！,大碗酒大塊肉，吃他娘的痛快！,哥哥餵的毒酒...鐵牛也認了...死也要死在一處...
DaiZong,DaiZong,神行甲馬日行八百里，各路軍情，戴宗頃刻送達！,甲馬綁腿，御風而行！出發！,神行破空，瞬息萬里！,跑遍天下名山大川，最愛梁山聚義酒！,神行千里...終有一歇...
HuSanniang,HuSanniang,一丈青在此，誰說女子不如男！,日月雙刀，紅綿套索，隨我出擊！,套索飛拋，生擒敵將！擒！,巾幗不讓鬚眉，乾了這碗酒！,三娘今日...盡忠了...
AnDaoquan,AnDaoquan,醫者仁心，只要有一口氣在，安某定保兄弟無虞！,隨軍救死扶傷，眾將士安心作戰！,百草神膏，起死回生！癒！,飲酒有度，切莫傷身，不過今日例外！,醫得天下人...難救自身命...
ShiQian,ShiQian,嘿嘿，飛簷走壁盜金甲，天下沒有時遷進不去的城！,悄無聲息，摸進敵營，看我的！,飛簷走壁，神不知鬼不覺！盜！,順手牽來兩壺好酒，兄弟們分著喝！,時遷這輩子...偷得值了...
YueFei,YueFei,精忠報國，還我河山！岳飛願與天下義士共抗外敵！,撼山易，撼岳家軍難！全軍出擊！,岳家槍法，直搗黃龍！破！,待從頭、收拾舊山河，朝天闕！,天日昭昭！天日昭昭！
WanyanZongbi,WanyanZongbi,大金鐵浮屠天下無敵！誰敢擋我女真勇士！,拐子馬兩翼包抄，踏平宋營！,雀斧破甲，萬馬奔騰！踏！,大口喝羊奶烈酒，征服天下！,大金鐵騎...怎會折戟於此...
Temujin,Temujin,蒼狼白鹿的子孫，天下大地皆為我蒙古鐵騎之牧場！,長生天保佑，百萬鐵騎，席捲天下！,萬箭齊發，蒼狼嘯月！射！,痛飲馬奶美酒，分賞天下財富！,長生天召喚我了...偉大的征服將永留人間...
