---,HeroID,SignatureMove,DuelPower,KillRatePercent,CaptureRatePercent,SignatureMoveName,MoveDescription
LinChong,LinChong,TurnHorseSpear,98,40.0,30.0,八十萬禁軍回馬槍,豹子頭林沖絕技，佯敗誘敵反手一槍貫穿敵將胸膛，極高斬殺率。
WuSong,WuSong,DrunkenCounter,98,35.0,35.0,醉八仙鴛鴦步連環腿,行者武松醉打快活林成名絕技，借力打力反震敵將兵刃並生擒。
LuZhishen,LuZhishen,IronStaffCleave,97,45.0,20.0,六十二斤水磨禪杖力劈,魯智深力拔山河泰山壓頂之勢，直接震碎敵將兵刃造成致命重創。
GuanSheng,GuanSheng,DragSaber,97,45.0,25.0,春秋偃月大刀拖刀計,關勝家傳絕學，刀背拖地猛然反斬，雷霆萬鈞之斬將必殺。
LuJunyi,LuJunyi,HeavySlash,99,40.0,40.0,河北玉麒麟點鋼連環搠,槍棒天下第一，步騎皆精，壓制敵將並有極高生擒俘虜機率。
YangZhi,YangZhi,HeavySlash,94,35.0,25.0,楊家世代金刀削鐵斷金,青面獸將門刀法，刀法狠辣凌厲，招招直取敵將要害。
HuyanZhuo,HuyanZhuo,HeavySlash,95,30.0,30.0,水磨雙鋼鞭碎骨連擊,雙鞭左右齊出疾風驟雨，直接擊碎敵將甲冑與腕骨。
QinMing,QinMing,HeavySlash,93,40.0,15.0,狼牙烽火狂暴重砸,霹靂火性急如火，狼牙棒剛猛無比，狂暴砸碎敵將護身盾。
HuaRong,HuaRong,HiddenArrow,95,35.0,35.0,陣前暗箭連環穿楊,小李廣陣前佯走回身放冷箭，精準射落敵將盔纓或面門。
ZhangQing,ZhangQing,HiddenArrow,93,20.0,50.0,沒羽箭飛石連打十五將,張清囊中飛石百發百中，瞬間擊落敵將落馬，生擒俘虜率極高。
HuSanniang,HuSanniang,CaptureDisarm,90,15.0,60.0,日月雙刀紅棉套索,一丈青雙刀纏鬥敵將，猝然拋出紅棉套索將敵將拖下馬生擒。
LiKui,LiKui,HeavySlash,92,50.0,10.0,旋風雙板斧排頭怒砍,黑旋風狂暴近身，雙斧瘋魔亂舞，不留活口之血戰殺招。
DongPing,DongPing,FastThrust,94,35.0,25.0,雙槍將出水蛟龍疾刺,董平雙槍神出鬼沒，左右開弓令敵將防不勝防。
ZhangShun,ZhangShun,FastThrust,88,30.0,40.0,浪裏白條水下奪刃,水戰單挑直接將敵將拖入水中溺斃或生擒。
YueFei,YueFei,TurnHorseSpear,100,50.0,40.0,岳家神槍直搗黃龍,岳武穆槍法通神，一槍破萬敵，陣前單挑天下無敵。
WanyanZongbi,WanyanZongbi,HeavySlash,96,45.0,20.0,女真大雀斧開山裂石,金兀朮巨力無窮，重斧劈砍威震中原戰場。
Temujin,Temujin,HiddenArrow,98,45.0,35.0,蒼狼逐日連珠神射,成吉思汗草原大弓連發三箭，陣前狙殺敵軍主帥。
