---,HeroID,PrimaryFormation,InfantryProficiency,CavalryProficiency,ArcherProficiency,NavalProficiency,SiegeProficiency,FormationBonusDesc
LinChong,LinChong,Arrowhead,90,95,80,50,60,八十萬禁軍教頭，鋒矢突擊穿透力極強，騎兵破陣加成25%。
WuSong,WuSong,FishScale,98,70,60,60,50,步軍統領，魚鱗陣近身肉搏天下無雙，步兵免傷與暴擊+30%。
LuZhishen,LuZhishen,SquareCircle,96,65,50,50,60,步軍都統，方圓陣鐵壁固守，吸引敵軍仇恨並免疫圍攻混亂。
LiJun,LiJun,CraneWing,75,60,80,99,70,水軍總督，鶴翼包抄水陸兩棲作戰，水軍全能力+35%。
YangZhi,YangZhi,CrescentMoon,90,92,85,55,65,將門之後，偃月陣攻守兼備，陣前斬將機率提升40%。
SongJiang,SongJiang,FishScale,80,80,80,80,70,山寨之主，全軍中軍大旗，全陣型友軍防禦與士氣+20%。
LuJunyi,LuJunyi,Arrowhead,92,98,88,50,65,河北玉麒麟，鋒矢陣重騎衝鋒，無視敵軍20%地形減速。
WuYong,WuYong,CraneWing,70,70,85,70,80,軍師參贊，鶴翼陣左右夾擊，敵軍陷入混亂機率+30%。
GongsunSheng,GongsunSheng,TaiYiChaos,60,60,70,60,90,全真國師，太乙混天象陣法術覆蓋，使全場敵軍法抗降低35%。
GuanSheng,GuanSheng,CrescentMoon,88,96,75,50,60,大刀將軍，偃月陣正面迎敵，重擊斬殺傷害提升30%。
QinMing,QinMing,Arrowhead,85,90,70,45,75,霹靂火，鋒矢陣烈火猛攻，部隊附加燃燒破城特效。
HuyanZhuo,HuyanZhuo,ChainCavalry,85,96,70,40,70,雙鞭呼延灼，連環馬陣重裝騎兵碾壓，正面衝撞傷害+40%。
HuaRong,HuaRong,WildGoose,75,88,99,60,70,小李廣，雁行陣遠程齊射，弓弩部隊射程+1格且暴擊率+25%。
DaiZong,DaiZong,FishScale,80,70,70,60,50,神行太保，部隊大地圖行軍速度提升50%。
LiKui,LiKui,FishScale,95,50,40,40,50,黑旋風，衝鋒步兵狂暴撕裂敵陣，自身受到遠程傷害增加15%。
ZhangShun,ZhangShun,CraneWing,65,45,70,99,60,浪裏白條，水戰潛水破船，擊沉敵軍水軍戰船速度+50%。
LingZhen,LingZhen,WildGoose,60,50,90,60,99,轟天雷，火炮攻城陣地，攻城器械傷害提升60%。
YueFei,YueFei,SquareCircle,98,98,95,85,85,岳武穆，岳家軍方圓鐵壁與鋒矢破陣兼備，全軍破金兵加成40%。
WanyanZongbi,WanyanZongbi,ChainCavalry,85,99,80,30,80,金兀朮，大金鐵浮屠與拐子馬，野戰平原衝鋒無敵。
Temujin,Temujin,WildGoose,80,99,99,20,85,成吉思汗，草原騎射曼古歹戰術，邊退邊射無損消耗。
