---,HeroID,PrimaryPreference,SecondaryPreference,FavoriteItemBonusLoyalty,PreferenceDescription
SongJiang,SongJiang,HonorAndLoyalty,AncientTome,30,及時雨崇尚忠義與經綸天書，封賞官職或贈九天玄女天書忠誠度直接達到上限。
LuJunyi,LuJunyi,NobleSteed,LegendaryWeapon,25,河北玉麒麟一生愛好神駿寶馬與點鋼神矛，贈照夜玉獅子忠誠滿值。
WuYong,WuYong,AncientTome,FineWine,30,智多星喜研太公兵法與奇門遁甲，賞賜古代兵書獲雙倍忠誠提升。
GongsunSheng,GongsunSheng,AncientTome,HonorAndLoyalty,30,入雲龍專修全真道法，研習道家典籍天書，對金銀視如糞土。
GuanSheng,GuanSheng,LegendaryWeapon,NobleSteed,25,大刀關勝敬重先祖威名，喜獲青龍偃月刀與赤兔寶馬。
LinChong,LinChong,LegendaryWeapon,NobleSteed,25,八十萬禁軍教頭，愛槍成痴，喜獲丈八蛇矛與烏騅寶馬。
QinMing,QinMing,LegendaryWeapon,FineWine,20,霹靂火性烈如火，喜獲重型狼牙烽火棒與大碗烈酒。
HuyanZhuo,HuyanZhuo,NobleSteed,LegendaryWeapon,25,雙鞭將軍專精連環馬陣，贈踢雪烏騅或良駒忠誠度大幅提升。
HuaRong,HuaRong,LegendaryWeapon,NobleSteed,25,小李廣酷愛強弓雕翎與塞外神駿，贈神弓良駒忠誠倍增。
ChaiJin,ChaiJin,GoldAndTreasures,HonorAndLoyalty,20,柴大官人好客養士，重金銀財帛以結交四海豪傑。
LuZhishen,LuZhishen,FineWine,LegendaryWeapon,30,花和尚嗜酒如命，賞賜透瓶香或狗肉美酒宴席忠誠度直接暴漲。
WuSong,WuSong,FineWine,LegendaryWeapon,30,行者武松好酒無雙，透瓶香十八碗下肚，赴湯蹈火在所不辭。
YangZhi,YangZhi,LegendaryWeapon,HonorAndLoyalty,25,青面獸將門之後，一生追尋不辱家聲之吹毛斷髮寶刀。
LiJun,LiJun,GoldAndTreasures,FineWine,20,混江龍販鹽巨擘，經略四海商貿，重商船物資與金銀賞賜。
DaiZong,DaiZong,AncientTome,FineWine,25,神行太保精通甲馬道術，喜研神行符籙與道家靈符。
LiKui,LiKui,FineWine,LegendaryWeapon,35,黑旋風最愛大碗喝酒大塊吃肉，設宴犒賞大醉一場忠誠即刻滿溢。
HuSanniang,HuSanniang,LegendaryWeapon,NobleSteed,20,一丈青喜好雙刀神兵與西域胭脂寶馬。
AnDaoquan,AnDaoquan,AncientTome,FineWine,30,神醫喜好上古醫典神農百草經與珍貴靈藥配方。
LingZhen,LingZhen,LegendaryWeapon,AncientTome,25,轟天雷痴迷火器火藥秘方與新型子母神炮圖紙。
ShiQian,ShiQian,GoldAndTreasures,FineWine,25,鼓上蚤喜獲珠寶珍玩與美酒佳釀。
YueFei,YueFei,HonorAndLoyalty,AncientTome,35,精忠報國岳武穆，唯重抗金大義與孫子兵法，重金不移其志。
WanyanZongbi,WanyanZongbi,NobleSteed,LegendaryWeapon,30,金兀朮一生征戰，崇尚重裝鐵浮屠鐵騎與女真神兵。
Temujin,Temujin,NobleSteed,HonorAndLoyalty,35,成吉思汗視草原駿馬為生命，崇尚長生天誓言與雄鷹良駒。
