---,NodeID,NodeName,NodeType,PosX,PosY,InitialOwner,GarrisonStrength
Liangshan,Liangshan,水泊梁山,Fortress,0.0,0.0,Liangshan,3000
Yuncheng,Yuncheng,鄆城縣,City,50.0,-20.0,Imperial,1500
Dongping,Dongping,東平府,City,80.0,60.0,Imperial,2500
Dongchang,Dongchang,東昌府,City,-60.0,70.0,Imperial,2200
Qingzhou,Qingzhou,青州府,City,150.0,20.0,Imperial,2800
Dengzhou,Dengzhou,登州府,City,220.0,80.0,Imperial,2500
Erlongshan,Erlongshan,二龍山,Fortress,110.0,-40.0,Erlongshan,1200
Taohuashan,Taohuashan,桃花山,Fortress,140.0,-60.0,Taohuashan,800
Qingfengshan,Qingfengshan,清風山,Fortress,130.0,0.0,Qingfengshan,1000
Baihushan,Baihushan,白虎山,Fortress,160.0,40.0,Baihushan,700
Zhujiazhuang,Zhujiazhuang,祝家莊,Village,30.0,40.0,Zhujiazhuang,1800
Dulonggang,Dulonggang,獨龍岡,Village,20.0,30.0,Zhujiazhuang,1000
Zengtou,Zengtou,曾頭市,Village,90.0,110.0,Zengtou,2000
Kaifeng,Kaifeng,東京汴梁,City,100.0,-120.0,Imperial,8000
Daming,Daming,北京大名府,City,120.0,100.0,Imperial,4000
Luoyang,Luoyang,西京洛陽,City,-50.0,-100.0,Imperial,5000
Huazhou,Huazhou,華州,City,-120.0,-30.0,Imperial,2000
Shaohuashan,Shaohuashan,少華山,Fortress,-140.0,-40.0,Shaohuashan,900
Mangdangshan,Mangdangshan,芒碭山,Fortress,30.0,-90.0,Mangdangshan,1100
Taiyuan,Taiyuan,太原府,City,-80.0,180.0,TianHu,4500
Weisheng,Weisheng,威勝州,City,-60.0,150.0,TianHu,3500
Nanyang,Nanyang,南陽府,City,-20.0,-180.0,WangQing,4000
Fangzhou,Fangzhou,房州,City,-70.0,-220.0,WangQing,3000
Hangzhou,Hangzhou,杭州府,City,180.0,-260.0,FangLa,6000
Shezhou,Shezhou,歙州,City,120.0,-280.0,FangLa,4500
Jiangzhou,Jiangzhou,江州,City,-80.0,-150.0,Imperial,3000
Yanjing,Yanjing,燕京幽州,City,20.0,260.0,Liao,7000
Jizhou,Jizhou,薊州,City,-40.0,240.0,Liao,3500
Shangjing_Jin,Shangjing_Jin,金上京會寧府,City,150.0,380.0,Jin,8000
Liaoyang,Liaoyang,東京遼陽府,City,100.0,320.0,Jin,5000
Karakorum,Karakorum,漠北和林,Fortress,-100.0,420.0,Yuan,9000
Hulunbuir,Hulunbuir,呼倫貝爾草原,Village,20.0,450.0,Yuan,6000
